L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-prefetches,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,instructions,ref-cycles,stalled-cycles-frontend,class
"100,702","1,809,023","20,195","30,262","2,301,894","268,150","93,558","52,025","7,851","1,407,812","39,225","1,407,812","61,623","673,780","42,132","264,274","12,349,280","9,504","395,207","1,599","369,979","6,164","5,557","15,036,614","18,891,392","8,834,318",yes
"106,351","1,989,695","12,799","16,590","2,809,578","252,699","85,283","42,309","45,962","1,165,064","147,076","1,165,064","74,176","491,982","29,445","175,111","9,418,356","22,414","7,162,686","1,101","3,817,835","4,337","3,526","3,241,027","18,790,304","6,544,972",yes
"40,716","342,063","6,232","12,653","220,014","58,111","21,384","3,672","6,344","256,350","31,462","256,350","34,506","427,024","28,662","169,884","8,289,005","7,474","885,740",803,"561,565","2,839",436,"968,047","8,056,096","5,945,684",yes
"88,940","1,690,229","17,731","24,319","677,674","95,906","36,874","24,021","7,014","1,311,866","31,347","1,311,866","56,084","470,024","25,237","150,871","8,103,301","7,691","326,546","1,410","306,771","5,714","4,431","14,785,109","16,438,720","5,347,068",yes
"106,862","2,010,546","17,067","23,280","2,864,361","262,152","89,838","42,230","18,123","1,185,217","67,926","1,185,217","71,757","657,571","43,836","246,147","12,553,964","16,245","5,104,205","1,005","2,594,152","3,880","3,605","3,126,631","18,712,192","8,827,757",yes
"53,262","451,838","5,989","12,146","228,751","56,261","18,433","3,132","7,472","346,307","32,573","346,307","41,715","419,971","29,742","155,784","7,860,488","8,012","348,529",996,"339,908","3,329","1,453","1,943,464","9,843,488","5,635,310",yes
"85,315","1,667,909","12,843","17,609","369,725","83,895","29,536","15,949","6,126","1,294,277","23,052","1,294,277","50,193","350,430","22,077","131,923","6,266,355","4,599","235,755","1,341","241,725","5,473","4,536","14,781,432","15,443,040","4,414,351",yes
"116,638","2,068,500","18,595","27,132","3,118,365","265,335","92,551","49,946","17,454","1,220,525","67,114","1,220,525","83,394","660,060","35,625","203,817","11,649,514","16,071","5,078,648","1,015","2,580,305","3,830","3,771","3,314,125","21,444,736","7,823,156",yes
"35,841","322,409","6,801","13,945","321,559","88,209","32,965","4,243","7,046","244,071","30,458","244,071","27,790","520,058","36,188","198,567","9,383,592","7,508","331,104",455,"306,705","1,239",435,"556,049","6,567,392","6,865,423",yes
"104,792","1,875,923","2,452","4,447","680,957","95,689","36,284","24,056","4,213","1,438,210","16,468","1,438,210","66,921","219,643","9,267","109,122","3,965,332","3,541","186,813","2,458","170,542","10,159","7,610","18,693,368","19,130,976","3,123,430",yes
"132,295","2,230,502","31,363","42,423","2,874,425","273,746","93,432","42,597","18,359","1,316,933","67,375","1,316,933","87,357","879,550","64,731","288,894","16,658,268","16,136","5,153,034",431,"2,611,522","1,254","6,183","560,213","23,334,656","11,493,643",yes
"87,972","1,586,619","4,762","9,335","354,119","72,527","25,435","5,633","7,738","1,223,853","33,123","1,223,853","53,530","346,400","24,679","147,695","6,512,958","7,942","369,964",587,"328,951","1,476","4,262","676,118","15,659,648","4,962,527",yes
"41,249","378,114","5,583","12,264","551,910","72,619","27,544","19,355","5,415","289,892","23,534","289,892","30,172","497,990","31,246","214,511","8,937,054","4,700","231,628","3,056","240,351","13,264",990,"27,711,602","7,623,424","7,128,424",yes
"104,639","2,001,848","27,864","36,093","2,816,836","238,580","81,104","46,334","17,104","1,178,395","63,266","1,178,395","71,759","745,645","42,782","208,866","12,905,668","15,328","5,075,212",886,"2,564,101","2,651","3,599","1,573,262","19,521,088","8,293,261",yes
"109,028","2,239,163","4,685","8,951","356,422","102,376","37,681","4,532","7,006","1,684,434","31,994","1,684,434","66,884","348,249","24,542","150,740","6,766,427","8,024","355,882",414,"313,376","1,058","5,075","487,498","19,010,976","5,121,936",yes
"44,962","397,618","2,024","4,069","383,169","111,961","41,984","5,320","7,987","295,398","43,451","295,398","36,552","196,476","9,671","87,363","3,569,680","8,750","573,822","2,270","412,394","10,200",683,"17,815,409","8,387,584","2,808,525",yes
"87,446","1,485,798","32,230","45,625","2,955,386","263,515","89,008","60,616","20,122","840,466","68,279","840,466","60,354","1,037,476","61,540","335,158","18,284,442","16,391","6,410,260",803,"3,166,813","2,681","2,794","941,345","14,865,376","12,261,714",yes
"114,223","2,281,485","3,461","7,435","539,548","90,128","34,552","6,461","8,334","1,708,914","33,630","1,708,914","69,003","253,076","13,316","132,607","5,209,672","9,328","493,272",544,"374,394","1,551","5,287","663,087","21,293,504","4,010,021",yes
"48,481","579,832","1,629","3,265","190,378","51,532","17,990","3,184","17,005","371,897","67,211","371,897","37,518","144,597","3,614","66,713","2,609,264","12,467","1,497,955","2,151","853,978","9,384",499,"18,380,765","9,413,184","2,101,693",yes
"77,729","1,415,942","30,713","41,161","2,645,285","168,550","70,148","57,962","14,916","784,223","51,502","784,223","53,447","967,198","58,024","284,659","16,406,641","12,494","4,390,444",482,"2,221,431","1,331","3,178","580,750","12,992,192","10,716,777",yes
"142,574","4,246,855","2,656","5,124","1,235,932","282,506","89,542","12,546","10,310","3,022,400","47,048","3,022,400","83,684","251,029","14,910","122,127","4,795,312","11,660","1,549,144",624,"904,139","2,306","7,055","785,352","26,616,928","3,857,900",yes
"60,130","547,176","3,489","7,259","248,152","70,100","23,386","3,664","7,769","412,312","33,424","412,312","38,350","317,851","14,026","140,644","5,515,340","7,871","330,974","1,996","334,327","8,576","1,700","21,836,464","8,792,736","4,207,996",yes
"92,148","1,487,095","31,618","43,722","1,636,871","107,172","52,242","46,671","16,298","838,144","64,273","838,144","63,722","1,019,525","62,723","310,643","17,750,776","15,865","4,571,981","1,010","2,322,158","3,918","3,469","1,410,812","16,356,608","12,032,210",yes
"146,960","3,645,189","2,213","4,092","1,980,054","274,711","85,838","22,566","9,721","2,489,095","53,459","2,489,095","90,918","174,839","10,006","101,221","3,780,183","12,976","1,557,385","1,037","936,866","3,220","6,568","1,798,072","27,202,176","3,007,526",yes
